Run, Alu, Energy, EUDAQ events, GBL events, RMS100 total, RMS98 total, RMS98 scattering 
1.0, 0.0, 2.0, 2000000.0, 5649160.0, 0.33744137876808644, 0.283479777878088, 0.0
2.0, 0.0, 1.0, 2000000.0, 2563848.0, 0.5232255897282923, 0.4444053613198746, 0.0
3.0, 0.0, 3.0, 2000000.0, 7130829.0, 0.2709754306411297, 0.22834999640357265, 0.0
4.0, 0.0, 4.0, 2000000.0, 6531523.0, 0.2392883079287821, 0.2028242508091708, 0.0
5.0, 0.0, 5.0, 2000000.0, 4677966.0, 0.2197304878708049, 0.18718495731021517, 0.0
7.0, 0.025, 5.0, 2000000.0, 4625467.0, 0.22696889168815587, 0.19204642908783462, 0.04293742752147146
9.0, 0.025, 4.0, 2000000.0, 6646058.0, 0.2480780692399262, 0.2087034633993858, 0.049187995675747456
11.0, 0.025, 3.0, 2000000.0, 7106188.0, 0.28346848075446895, 0.2362859118603514, 0.060723235142456825
12.0, 0.025, 2.0, 2000000.0, 5767521.0, 0.35696998491070464, 0.2985091809244253, 0.09352511229804096
13.0, 0.025, 1.0, 2000000.0, 2539125.0, 0.5589054875583002, 0.47701864641854136, 0.1733512730300215
15.0, 0.05, 1.0, 2000000.0, 2485766.0, 0.5908607105474882, 0.5058367170133535, 0.2416084831064489
17.0, 0.05, 2.0, 2000000.0, 5325800.0, 0.37425421481414434, 0.3121500945280458, 0.130678602104774
18.0, 0.05, 3.0, 2000000.0, 6616138.0, 0.29441816131665627, 0.2455984211089177, 0.09041495226831468
19.0, 0.05, 4.0, 2000000.0, 6447126.0, 0.25623053957793346, 0.2143561762987202, 0.06936060554166608
20.0, 0.05, 5.0, 2000000.0, 4614378.0, 0.23366930318945708, 0.19659483329318125, 0.06009426124303924
22.0, 0.1, 5.0, 2000000.0, 4747781.0, 0.2474059762678971, 0.2044470242997953, 0.08222151483531553
23.0, 0.1, 4.0, 2000000.0, 6817638.0, 0.2733817108809393, 0.22639584471731264, 0.10058529608727172
24.0, 0.1, 3.0, 2000000.0, 7429106.0, 0.318190589954802, 0.2634346397923342, 0.1313548194205498
26.0, 0.1, 2.0, 2000000.0, 6192026.0, 0.4080981020562898, 0.3411977321988046, 0.1898818263863003
28.0, 0.1, 1.0, 2000000.0, 2726804.0, 0.6532254774707799, 0.5614061443783797, 0.3430462560296348
30.0, 0.2, 1.0, 2000000.0, 2681837.0, 0.7612718421877138, 0.6613680003101816, 0.48980762209712503
32.0, 0.2, 2.0, 2000000.0, 6407252.0, 0.4683234683938825, 0.39212446372414844, 0.27092583964092626
33.0, 0.2, 3.0, 2000000.0, 7752476.0, 0.35847011139012447, 0.29470007304166507, 0.18629120267272709
35.0, 0.2, 4.0, 2000000.0, 6960043.0, 0.3033725156775607, 0.24851282681086426, 0.1435999595167951
36.0, 0.2, 5.0, 2000000.0, 4883971.0, 0.2714338080883424, 0.22105751196880125, 0.1175934324467554
38.0, 1.0, 5.0, 2000000.0, 4541389.0, 0.4160495080273288, 0.3311532279191296, 0.27317439872365773
39.0, 1.0, 4.0, 2000000.0, 5935914.0, 0.48079065182827524, 0.3899628384149508, 0.3330665678634582
41.0, 1.0, 3.0, 2000000.0, 8378097.0, 0.5871470789857522, 0.490359169616799, 0.43394515133800604
42.0, 1.0, 2.0, 2000000.0, 6304695.0, 0.7928738801435938, 0.6862010013166422, 0.624908817142271
44.0, 1.0, 1.0, 2000000.0, 2496639.0, 1.3125747718872436, 1.1984487649010083, 1.113006431662865
46.0, 10.0, 1.0, 2000000.0, 2334995.0, 2.5573214469166685, 2.485374527135957, 2.4453201048055924
47.0, 10.0, 2.0, 2000000.0, 6217055.0, 2.051848533870624, 1.9581882541250601, 1.9375604388321777
48.0, 10.0, 3.0, 2000000.0, 7721560.0, 1.6062569583577513, 1.4932102748766454, 1.475646707088006
49.0, 10.0, 4.0, 2000000.0, 5938730.0, 1.318143626479953, 1.1953996295446048, 1.178067314544919
50.0, 10.0, 5.0, 2000000.0, 3501080.0, 1.1289120584732009, 0.9980449043146145, 0.98033434234711
52.0, 0.013, 1.0, 2000000.0, 2335835.0, 0.5408088765682943, 0.4602395528182108, 0.11968425463885507
54.0, 0.013, 2.0, 2000000.0, 6740971.0, 0.3470633666903253, 0.2913954744403819, 0.06745767605339774
55.0, 0.013, 3.0, 2000000.0, 8035037.0, 0.2773581387412263, 0.23223749945063651, 0.04231471722194008
56.0, 0.013, 4.0, 2000000.0, 7269308.0, 0.24349724671800438, 0.2048071907825368, 0.028430769949704376
57.0, 0.013, 5.0, 2000000.0, 5088684.0, 0.2236993968993691, 0.19042186199260297, 0.034961082384600876
