# ('runnr', 'thickness', 'energy', 'events', 'total_sum', 'total_mean', 'total_rms', 'projection_x_sum', 'projection_x_mean', 'projection_x_rms', 'projection_x_fit_slope', 'projection_x_fit_offset', 'projection_x_fit_dslope', 'projection_x_fit_doffset', 'projection_x_fit_chi2', 'projection_x_fit_chi2red', 'projection_y_sum', 'projection_y_mean', 'projection_y_rms', 'projection_y_fit_slope', 'projection_y_fit_offset', 'projection_y_fit_dslope', 'projection_y_fit_doffset', 'projection_y_fit_chi2', 'projection_y_fit_chi2red')
1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+06,-5.063547303044941827e+00,-5.626163670049935293e-05,5.906894717768845088e-02,-2.531773651522467583e-02,-5.626163670049927839e-05,4.713476267348943628e-03,-5.659534419028812889e-06,7.798538761695221911e-04,1.358170744248987094e-05,7.576999783485425307e-05,6.517537640143611366e-01,1.454807508960627568e-03,-1.125232734009982104e-02,-5.626163670049910221e-05,2.893037944608792440e-03,1.710590755773240247e-05,6.123085165241905995e-04,3.842955369002971222e-05,7.398168075668411909e-05,1.621830280421460713e-01,8.191062022330609189e-04
2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+06,1.620524548058176606e+01,1.800582831175751768e-04,8.825061966165614891e-02,8.102622740290896242e-02,1.800582831175754749e-04,6.453984211803521186e-03,-1.006179111635997731e-04,1.357374522076135095e-03,1.789848298077382423e-05,1.056176130234943414e-04,8.685322387608624961e-01,1.938688032948353724e-03,3.601165662351507590e-02,1.800582831175753665e-04,4.573438253279996785e-03,7.872915194191506161e-05,6.742512591491585730e-04,3.919813505358950019e-05,1.067488360349485476e-04,3.126056452051974022e-01,1.578816389925239479e-03
3.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+06,7.291652684337506685e+01,8.101836315930563024e-04,6.202159932910544793e-02,3.645826342168752565e-01,8.101836315930560856e-04,4.574566132425124214e-03,-4.329358894869390477e-05,1.163231784540729938e-03,1.518311183714442082e-05,8.411524422036443475e-05,7.031501205444945501e-01,1.569531519072532447e-03,1.620367263186112128e-01,8.101836315930560856e-04,3.506694266912233505e-03,-7.504012023522993458e-05,9.809740522777193883e-04,3.747822110383156925e-05,1.023172057666622571e-04,2.514487301832677990e-01,1.269943081733675757e-03
4.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+06,5.246618942759711501e+01,5.829576603066346152e-04,5.589987767690419301e-02,2.623309471379855484e-01,5.829576603066345068e-04,4.508306283349765645e-03,3.384190033825884531e-05,9.826192788548618415e-04,1.641708290841909851e-05,8.258878489051803382e-05,6.898791247232893831e-01,1.539908760543056690e-03,1.165915320613268857e-01,5.829576603066343983e-04,2.758952817036763611e-03,-2.087064034159089721e-05,6.837129456752752323e-04,3.708918877254271273e-05,7.576217089398935953e-05,1.997068401737022991e-01,1.008620404917688358e-03
5.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+06,7.860647450850018458e+01,8.734149769275234522e-04,4.524143702184071220e-02,3.930323725425010073e-01,8.734052723166689470e-04,4.012487693861597864e-03,-1.097000378305392350e-04,8.771915373473651014e-04,1.432895608054040646e-05,6.477737232660228173e-05,6.421199499594014704e-01,1.433303459730806946e-03,1.746810544633337625e-01,8.734052723166688386e-04,2.568684436615503199e-03,5.791870764267514660e-05,9.272454484470053770e-04,3.558880108400347262e-05,8.228350683120149041e-05,1.870990150099502702e-01,9.449445202522740658e-04
7.000000000000000000e+00,2.500000000000000139e-02,5.000000000000000000e+00,2.000000000000000000e+06,1.984904914731454255e+02,2.205449905257171259e-03,4.930042566973377033e-02,9.924524573657270698e-01,2.205449905257171259e-03,4.241393668255577162e-03,-1.758494413240603614e-04,1.390755923334145499e-03,1.653455240122901873e-05,8.325493334735505047e-05,8.182140446995639360e-01,1.826370635490098164e-03,4.410899810514342101e-01,2.205449905257171259e-03,2.701958742625356572e-03,2.368508475780496127e-04,9.704512557912815980e-04,4.938329419571525888e-05,1.001823666676582015e-04,3.432800063235378341e-01,1.733737405674433451e-03
9.000000000000000000e+00,2.500000000000000139e-02,4.000000000000000000e+00,2.000000000000000000e+06,1.009308892453181699e+02,1.121454324947979576e-03,5.471978747890196559e-02,5.046544462265907249e-01,1.121454324947979359e-03,4.681727405312825080e-03,-1.205941745854596834e-05,1.412971013773891378e-03,1.791634188118939369e-05,9.511489089858095227e-05,7.197995965231244186e-01,1.606695527953402782e-03,2.242908649895958839e-01,1.121454324947979359e-03,3.053513813124485599e-03,-3.340179652633164855e-05,1.161680131158656856e-03,4.722887087074579285e-05,9.719459672441786236e-05,2.110225294850750222e-01,1.065770350934722426e-03
1.100000000000000000e+01,2.500000000000000139e-02,3.000000000000000000e+00,2.000000000000000000e+06,-1.277721671579649865e+02,-1.419690746199610927e-03,6.087133632351743318e-02,-6.388608357898248880e-01,-1.419690746199610927e-03,4.843508292083649643e-03,1.529554896617695142e-05,9.429444084977672185e-04,1.598882149692914365e-05,7.534146572177400757e-05,4.178713521937492681e-01,9.327485540039046627e-04,-2.839381492399221107e-01,-1.419690746199610493e-03,3.209764741463513784e-03,8.785992746963782016e-05,6.046981266621434233e-04,4.642409227797556572e-05,7.029142927435162898e-05,1.012226240810434885e-01,5.112253741466842548e-04
1.200000000000000000e+01,2.500000000000000139e-02,2.000000000000000000e+00,2.000000000000000000e+06,-1.345909265192824122e+01,-1.495454739103138024e-04,5.986269366963321154e-02,-6.729546325964130826e-02,-1.495454739103140192e-04,4.854698620410033416e-03,-6.170580003713493542e-05,2.544330472371677176e-04,1.725081672112412342e-05,4.684282865651765446e-05,7.497396247789545054e-01,1.673525948167309133e-03,-2.990909478206278671e-02,-1.495454739103139379e-04,3.135185216887683996e-03,8.531618884743281657e-05,1.239340027832009500e-03,4.405687835081544749e-05,9.633907055432289603e-05,1.308024253809657589e-01,6.606183100048775318e-04
1.300000000000000000e+01,2.500000000000000139e-02,1.000000000000000000e+00,2.000000000000000000e+06,3.522816054017008014e+01,3.914240060018897658e-04,9.187005607761097870e-02,1.761408027008505295e-01,3.914240060018900911e-04,6.713637333203217351e-03,-7.166680789185623894e-05,1.442211286497431999e-03,2.129235843915163940e-05,1.162996933170042368e-04,9.508964963468534703e-01,2.122536822202797987e-03,7.828480120037802081e-02,3.914240060018900911e-04,4.873169238354384952e-03,-3.222124928081768593e-04,1.406462262868884896e-03,4.303556437340418160e-05,1.324424911949080477e-04,2.730429994099823343e-01,1.379005047525163263e-03
