# ('runnr', 'thickness', 'energy', 'events', 'total_sum', 'total_mean', 'total_rms', 'projection_x_sum', 'projection_x_mean', 'projection_x_rms', 'projection_x_fit_slope', 'projection_x_fit_offset', 'projection_x_fit_dslope', 'projection_x_fit_doffset', 'projection_x_fit_chi2', 'projection_x_fit_chi2red', 'projection_y_sum', 'projection_y_mean', 'projection_y_rms', 'projection_y_fit_slope', 'projection_y_fit_offset', 'projection_y_fit_dslope', 'projection_y_fit_doffset', 'projection_y_fit_chi2', 'projection_y_fit_chi2red')
1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+06,3.947508526772265031e+04,4.386120585302516472e-01,5.338699869653634744e-01,1.973754263386132664e+02,4.386120585302517028e-01,4.419152479013761098e-02,3.339587836411033947e-03,4.351511829007885246e-01,3.466768958867982040e-04,1.833471119510040465e-03,1.557394039154307741e+00,3.476325980255151084e-03,8.772241170605033744e+01,4.386120585302517028e-01,2.714406081380312669e-02,9.994905899760693144e-04,4.369865122236151200e-01,8.110664530080616622e-04,1.894092110431289545e-03,3.251092623141665916e-01,1.641965971283669600e-03
2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+06,5.534421856683772785e+04,6.149357618537525383e-01,4.490846140650129881e-01,2.767210928341886529e+02,6.149357618537525383e-01,3.560517983692049193e-02,2.422619036207157486e-03,6.132436480282827951e-01,2.913386434299738330e-04,1.521921698334314284e-03,7.614512187676029109e-01,1.699667899034827895e-03,1.229871523707505219e+02,6.149357618537526493e-01,2.311959579592260533e-02,-1.299748372028155120e-03,6.141224668770477457e-01,6.847300381634739393e-04,1.588250288712077718e-03,1.626589954003617999e-01,8.215100777796050359e-04
3.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+06,3.511044738935414352e+04,3.901160821039349469e-01,6.490553040040166755e-01,1.755522369467707335e+02,3.901160821039349469e-01,4.722813643791158589e-02,1.795472766328358189e-03,3.850152883191846898e-01,3.972585985442435167e-04,2.093721254928827390e-03,2.295357198318498604e+00,5.123565174818077612e-03,7.802321642078698005e+01,3.901160821039348914e-01,3.248519751347300061e-02,6.072742472195231597e-04,3.874991933649286624e-01,9.668970684407293030e-04,2.263056692118232786e-03,5.233777473579139805e-01,2.643321956353101004e-03
4.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+06,2.987639639234741844e+04,3.319599599149712921e-01,5.676141027490423374e-01,1.493819819617370968e+02,3.319599599149713476e-01,4.246415027054484259e-02,1.402575514856385262e-03,3.274395657650982505e-01,3.460302856316799756e-04,1.817668673948569409e-03,2.034177356495559863e+00,4.540574456463303266e-03,6.639199198299425575e+01,3.319599599149712921e-01,2.764238120883132782e-02,-7.819825053404021956e-04,3.297918882342609770e-01,8.144605510787879948e-04,1.900308920845020103e-03,4.336143367434910911e-01,2.189971397694399306e-03
5.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+06,2.531439127454982736e+04,2.812741394298806097e-01,3.747273491948787116e-01,1.265719563727491277e+02,2.812710141616647230e-01,2.590404886031416262e-02,1.433886167668476210e-03,2.793084622910772530e-01,2.121801262616061150e-04,1.106148951696950353e-03,8.831483431287716623e-01,1.971313265912436746e-03,5.625420283233295038e+01,2.812710141616647785e-01,1.887494621296522540e-02,-4.961097603876777392e-05,2.800731261455747245e-01,5.602916725783274295e-04,1.301700989746394036e-03,2.395776021285933033e-01,1.209987889538349922e-03
7.000000000000000000e+00,2.500000000000000139e-02,5.000000000000000000e+00,2.000000000000000000e+06,2.600180645018924042e+04,2.889089605576582453e-01,3.767056139107985424e-01,1.300090322509462055e+02,2.889089605576582453e-01,2.711176126972689518e-02,1.346083380884066129e-03,2.868203700779483611e-01,2.214579968584069010e-04,1.156358876160521864e-03,9.398657162466264037e-01,2.097914545193362446e-03,5.778179211153164374e+01,2.889089605576582453e-01,1.932183977777170505e-02,-1.067457416283601078e-03,2.877269628737021967e-01,5.654267859544383082e-04,1.310587442108993722e-03,2.363995380549234193e-01,1.193937060883451659e-03
9.000000000000000000e+00,2.500000000000000139e-02,4.000000000000000000e+00,2.000000000000000000e+06,3.112986509063957419e+04,3.458873898959952675e-01,5.503618434332404608e-01,1.556493254531978607e+02,3.458873898959952675e-01,3.982693975505486456e-02,1.809721509757425103e-03,3.419457581298363524e-01,3.298003752625059044e-04,1.734513285064868222e-03,1.773734297224078160e+00,3.959228342018031484e-03,6.917747797919905395e+01,3.458873898959952675e-01,2.853054279628148768e-02,-1.292224757268778520e-03,3.436614512015594980e-01,8.397620591772374113e-04,1.965574073707814905e-03,4.451877372243713826e-01,2.248422915274602991e-03
1.100000000000000000e+01,2.500000000000000139e-02,3.000000000000000000e+00,2.000000000000000000e+06,3.600369377184044424e+04,4.000410419093382575e-01,6.279345334294824665e-01,1.800184688592021871e+02,4.000410419093382020e-01,4.809755709397823403e-02,1.669335365745292432e-03,3.951066484039744142e-01,3.966537405780834621e-04,2.086099654036993514e-03,2.220477075149738688e+00,4.956422042744952801e-03,8.000820838186763240e+01,4.000410419093381464e-01,3.201699102531519597e-02,2.315756202367404929e-03,3.976230128316319279e-01,9.425796076362948257e-04,2.203605867772502266e-03,4.836058141272596700e-01,2.442453606703331483e-03
1.200000000000000000e+01,2.500000000000000139e-02,2.000000000000000000e+00,2.000000000000000000e+06,4.159480426530027762e+04,4.621644918366697441e-01,5.079410200254611540e-01,2.079740213265014006e+02,4.621644918366697996e-01,3.812383353869729791e-02,1.843074096002223850e-03,4.593436451281186494e-01,3.225299922802135643e-04,1.700668206418914311e-03,1.269381018014979823e+00,2.833439772354865490e-03,9.243289836733394793e+01,4.621644918366697441e-01,2.632119214322180267e-02,1.045299413318093260e-03,4.607186996581323912e-01,7.868952075733435169e-04,1.834164403690967914e-03,2.891584368744205547e-01,1.460396145830406868e-03
1.300000000000000000e+01,2.500000000000000139e-02,1.000000000000000000e+00,2.000000000000000000e+06,5.884432469295627379e+04,6.538258299217363234e-01,4.550495480638830359e-01,2.942216234647813167e+02,6.538258299217362124e-01,3.329392031779107586e-02,1.749410534610009544e-03,6.523276007781896313e-01,2.830090908974691039e-04,1.477008485093706663e-03,6.742031126131280416e-01,1.504917662082875000e-03,1.307651659843472771e+02,6.538258299217364344e-01,2.332313279031544839e-02,6.838670562133304350e-04,6.530148393107890747e-01,7.045844344714989951e-04,1.635448390135945968e-03,1.621981224920726050e-01,8.191824368286495378e-04
