# ('runnr', 'thickness', 'energy', 'events', 'proc_events', 'rmsROOT', 'rmsROOT_norm', 'rmsROOT_norm_error', 'rmsfrac', 'rmsfrac_norm', 'rmsfrac_norm_error', 'gauss_mu', 'gauss_si', 'gauss_si_dev', 'gauss_height', 'gauss_chi2red', 'gauss_si_norm', 'gauss_si_norm_error', 'combined_mu', 'combined_si_g', 'combined_si_g_dev', 'combined_nu_s', 'combined_si_s', 'combined_si_s_dev', 'combined_frac', 'combined_height', 'combined_chi2red', 'combined_si_g_norm', 'combined_si_s_norm', 'combined_si_g_norm_error', 'combined_si_s_norm_error', 'combined_one_mu', 'combined_one_si', 'combined_one_si_dev', 'combined_one_nu_s', 'combined_one_frac', 'combined_one_height', 'combined_one_chi2red', 'combined_one_si_norm', 'combined_one_si_norm_error', 'opacity_highland_standard', 'opacity_highland_electron')
1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+06,1.151953600000000000e+07,4.874650057605329767e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.986010134238274438e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.256841808640404540e-04,2.951292984859917867e-01,3.146635420742783119e-03,5.612411530092736939e+05,2.074302954218286686e+03,0.000000000000000000e+00,0.000000000000000000e+00,-1.060312432600753744e-04,2.813976651482484326e-01,3.633515207085160031e-04,2.120601240885482852e+00,2.648925224061479677e-01,1.294030799460430198e-03,3.232369939241362400e-01,5.756887821730766445e+05,2.892554825608038005e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.085635642941575952e-04,2.783361654765752480e-01,1.601628586944953538e-04,2.157275861196859879e+00,3.053332643405463065e-01,5.756745403887913562e+05,3.019324979835147804e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+06,6.990762000000000000e+06,6.781025404311076255e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.651931042174509701e-01,0.000000000000000000e+00,0.000000000000000000e+00,-5.981047469333913499e-04,4.605344683086588509e-01,4.346998899729735515e-03,3.401614311642092071e+05,9.557014224437109533e+02,0.000000000000000000e+00,0.000000000000000000e+00,-2.399128022435541427e-04,4.469134745619245397e-01,6.512929439062676391e-04,2.389749097974224856e+00,3.909338464681318959e-01,1.252381786963531344e-03,4.183992014993891950e-01,3.493897744284367654e+05,1.559062596365762943e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.528852758839840627e-04,4.303660762450769450e-01,2.831993886601403502e-04,2.541418210271878309e+00,3.866339149278230636e-01,3.493346668656289694e+05,2.074726731483476083e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+06,1.397903800000000000e+07,4.312849992585620074e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.402906569931985148e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.593456738569884931e-04,2.386772903867860618e-01,2.513868108713535401e-03,6.817114981422116980e+05,2.476054621662351110e+03,0.000000000000000000e+00,0.000000000000000000e+00,6.994960919268933697e-04,2.262735040901896755e-01,2.484949828964651557e-04,2.034307991014327133e+00,2.284002372303310102e-01,1.449002000815150914e-03,2.705786142120296667e-01,6.986311140187522396e+05,3.048761302867387446e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.996155083132544463e-04,2.265613586688357550e-01,1.152860375169917313e-04,2.029782028199352606e+00,2.732782085056715271e-01,6.986310421047509881e+05,3.049882069726487455e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+06,1.268462000000000000e+07,3.805343542781984834e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.128653038982890044e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.000452212427754881e-04,2.126502611451500935e-01,2.043038486215583045e-03,6.202074280001452425e+05,1.879246476056780693e+03,0.000000000000000000e+00,0.000000000000000000e+00,5.816337249821865001e-04,2.029179324441147403e-01,1.837750895033405925e-04,2.014465286316268422e+00,2.069053507581899432e-01,1.352906963222291715e-03,2.357852897122204583e-01,6.340098205283550778e+05,2.174343960375886287e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.820742147721217697e-04,2.033624559962209088e-01,8.919777962654227264e-05,2.005202750582542492e+00,2.409113717182117254e-01,6.340093439593982184e+05,2.181857327799762380e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+06,9.062526000000000000e+06,3.385295085121039493e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.946465371947295742e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.672452597321779244e-04,1.973272912600280427e-01,1.473903744004433514e-03,4.439135765883419663e+05,7.752998246312587298e+02,0.000000000000000000e+00,0.000000000000000000e+00,6.636591216403231767e-04,1.915149791881537999e-01,1.862164463203313950e-04,1.974453368196240399e+00,1.877601805406544921e-01,1.432384349244840817e-03,2.087321848342487962e-01,4.529292836639019661e+05,2.058903973966118794e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.626579291491022572e-04,1.911458350686561503e-01,9.315262687019197759e-05,1.984042500384868069e+00,2.041968771634503632e-01,4.529283568903405103e+05,2.063793948958678737e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,2.500000000000000139e-02,5.000000000000000000e+00,2.000000000000000000e+06,8.954974000000000000e+06,3.534026014901629487e-01,1.014454070254946078e-01,5.012703702356044455e-02,2.014656177549915828e-01,5.197230700576160878e-02,3.204987937496079492e-02,1.754824763842132004e-03,2.023004748956178933e-01,1.758166830939544845e-03,4.386367788464554469e+05,1.078714626462055094e+03,4.458051443144846887e-02,1.030610308891853275e-02,2.059022989928833546e-03,1.950760114178222981e-01,1.877763725552444255e-04,1.970265324043354305e+00,1.923366275936238823e-01,1.399147624492934902e-03,2.166365031543546205e-01,4.475676604864269611e+05,1.917530585568458568e+00,3.710340924022148545e-02,4.170722859923912951e-02,1.377881120430382968e-03,9.122166690973303876e-03,2.059862303245116062e-03,1.947946288465955411e-01,9.296903287139104456e-05,1.977190649484042106e+00,2.133162915125381143e-01,4.475670972988411086e+05,1.919677317735566158e+00,3.752621967889936683e-02,6.767822208219503649e-04,3.352572703737067596e-03,2.138240286002761857e-03
9.000000000000000000e+00,2.500000000000000139e-02,4.000000000000000000e+00,2.000000000000000000e+06,1.290547800000000000e+07,3.978558863136140156e-01,1.161159398552407684e-01,5.542726687096800192e-02,2.208235653552421962e-01,5.874869711312744741e-02,3.399169909578885623e-02,8.241232987652126127e-04,2.190692992673547168e-01,2.293905536291941140e-03,6.306576270408522105e+05,2.300182018776059522e+03,5.264241936299368652e-02,1.261889041617255888e-02,1.033655449936480512e-03,2.079556081019545422e-01,1.878966761035018567e-04,2.001368633802067087e+00,2.139701235308986427e-01,1.387337622562619284e-03,2.410421090743200823e-01,6.450523925309559563e+05,2.153126727215498804e+00,4.549557817699857037e-02,5.452879598394237692e-02,1.187219275604248832e-03,7.482565696033652639e-03,1.032781474682873931e-03,2.086399690210315461e-01,9.114525743753809303e-05,1.987833461175839922e+00,2.486580522414039984e-01,6.450510434733828297e+05,2.171175718974273305e+00,4.662990632933034646e-02,5.635995576970758260e-04,4.190715879671334278e-03,2.672800357503452105e-03
1.100000000000000000e+01,2.500000000000000139e-02,3.000000000000000000e+00,2.000000000000000000e+06,1.390944200000000000e+07,4.450726245411196769e-01,1.099222021725486526e-01,7.416104609062837416e-02,2.507578154339817345e-01,7.169297150348744041e-02,3.572231847542028937e-02,-1.926571771362729953e-03,2.479744666906816830e-01,2.716993534606265519e-03,6.780385247436946956e+05,2.679898578578632169e+03,6.726430839717152665e-02,1.341252390250648532e-02,-1.749868993383308464e-03,2.343562874423378017e-01,2.559608689036825210e-04,2.047320575936129927e+00,2.361238175206069601e-01,1.401329711964168596e-03,2.807761364180922925e-01,6.951735273534108419e+05,2.858573131382734722e+00,6.101779093430515638e-02,5.989815384161196327e-02,1.347452473281429523e-03,7.813118229545558749e-03,-1.750108261648732197e-03,2.346087297138658156e-01,1.169663031078944064e-04,2.043564837907946075e+00,2.829874427034685946e-01,6.951735071595415939e+05,2.858917014884495345e+00,6.091967511473532493e-02,6.218787574378621848e-04,5.587621172895112370e-03,3.563733810004602806e-03
1.200000000000000000e+01,2.500000000000000139e-02,2.000000000000000000e+00,2.000000000000000000e+06,1.176810600000000000e+07,5.090484386300041519e-01,1.466566774154135777e-01,7.192024018214078496e-02,3.141811647050602452e-01,9.770997409523460298e-02,4.084043110780909147e-02,-4.082249217949509711e-04,3.103057114023693441e-01,3.302137910217446248e-03,5.728271763873711461e+05,2.102879268684540421e+03,9.585578597088910413e-02,1.442672317854043484e-02,-1.914677378852731621e-04,2.947354297940836254e-01,3.627489538441282246e-04,2.143165168881124849e+00,2.801070714388757543e-01,1.244095873088096361e-03,3.357068539641852589e-01,5.881555747807577718e+05,2.492081208784565405e+00,8.766029674269558425e-02,9.105999694361865959e-02,1.687607444021991089e-03,5.368006375044770233e-03,-1.897796679251533643e-04,2.918884383105181390e-01,1.558480187515209143e-04,2.175055604058187431e+00,3.202601725963090118e-01,5.881449271437529242e+05,2.585278200869830734e+00,8.790813049513494792e-02,7.245280593086248508e-04,8.381431759342668555e-03,5.345600715006904209e-03
1.300000000000000000e+01,2.500000000000000139e-02,1.000000000000000000e+00,2.000000000000000000e+06,6.888538000000000000e+06,7.166291968453730732e-01,2.318067092042904731e-01,8.921207111989575000e-02,4.977513865796439063e-01,1.770644476751047636e-01,5.573551842259859973e-02,1.275103830872248694e-04,4.925943480122306761e-01,4.585761542111115377e-03,3.350476527935575577e+05,9.123235141480557786e+02,1.748061646317301265e-01,1.726689538931674636e-02,3.643258264084645883e-04,4.782851289222547209e-01,6.953620654092131353e-04,2.439072538442616178e+00,4.176777829554728649e-01,1.235007122589593630e-03,4.358532415257550530e-01,3.442925204062999110e+05,1.406874763295759667e+00,1.703672820795290865e-01,1.470559691417869519e-01,2.594189118519457053e-03,4.836191563947773130e-03,3.700637152891179320e-04,4.592151055772726309e-01,2.980408526046870597e-04,2.600981474431285800e+00,4.047663672457258444e-01,3.442362271067284746e+05,1.935615607152366247e+00,1.601984819146619332e-01,1.143995986793333109e-03,1.676286351868533711e-02,1.069120143001380842e-02
