# ('runnr', 'thickness', 'energy', 'events', 'proc_events', 'rmsROOT', 'rmsROOT_norm', 'rmsROOT_norm_error', 'rmsfrac', 'rmsfrac_norm', 'rmsfrac_norm_error', 'gauss_mu', 'gauss_si', 'gauss_si_dev', 'gauss_height', 'gauss_chi2red', 'gauss_si_norm', 'gauss_si_norm_error', 'combined_mu', 'combined_si_g', 'combined_si_g_dev', 'combined_nu_s', 'combined_si_s', 'combined_si_s_dev', 'combined_frac', 'combined_height', 'combined_chi2red', 'combined_si_g_norm', 'combined_si_s_norm', 'combined_si_g_norm_error', 'combined_si_s_norm_error', 'combined_one_mu', 'combined_one_si', 'combined_one_si_dev', 'combined_one_nu_s', 'combined_one_frac', 'combined_one_height', 'combined_one_chi2red', 'combined_one_si_norm', 'combined_one_si_norm_error')
1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+06,1.151953600000000000e+07,4.874650057605329767e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.986010134238274438e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.256841808640404540e-04,2.951292984859917867e-01,3.146635420742783119e-03,5.612411530092736939e+05,2.074302954218286686e+03,0.000000000000000000e+00,0.000000000000000000e+00,-1.060331355429133116e-04,2.813976649801299690e-01,3.633511434691933783e-04,2.120598754148628196e+00,2.648923328245933462e-01,1.294027707320513036e-03,3.232369653885507343e-01,5.756887822970387060e+05,2.892554825908955962e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.085612502124828059e-04,2.783361336000523822e-01,1.601628976331988523e-04,2.157277158429190322e+00,3.053336293167208115e-01,5.756745403273941483e+05,3.019324979916782059e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+06,6.990762000000000000e+06,6.781025404311076255e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.651931042174509701e-01,0.000000000000000000e+00,0.000000000000000000e+00,-5.981047469333913499e-04,4.605344683086588509e-01,4.346998899729735515e-03,3.401614311642092071e+05,9.557014224437109533e+02,0.000000000000000000e+00,0.000000000000000000e+00,-2.399085839909499663e-04,4.469136345090714557e-01,6.512973136447028832e-04,2.389759470288227661e+00,3.909337641760660675e-01,1.252374888965684160e-03,4.184017458409414747e-01,3.493897740645096637e+05,1.559062596454771521e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.528839910459325727e-04,4.303659926077801900e-01,2.831996170365009245e-04,2.541423550960104638e+00,3.866351628622486380e-01,3.493346667340943823e+05,2.074726733855857930e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+06,1.397903800000000000e+07,4.312849992585620074e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.402906569931985148e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.593456738569884931e-04,2.386772903867860618e-01,2.513868108713535401e-03,6.817114981422116980e+05,2.476054621662351110e+03,0.000000000000000000e+00,0.000000000000000000e+00,6.994965257656919145e-04,2.262734218021086596e-01,2.484953967811226591e-04,2.034314279366085998e+00,2.284007766210648382e-01,1.449016250152067699e-03,2.705785650778714246e-01,6.986311136797319632e+05,3.048761301594564710e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.996152371323425189e-04,2.265614158799266475e-01,1.152857913879773313e-04,2.029769141022262691e+00,2.732759660060527507e-01,6.986310428637274308e+05,3.049882063345890515e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+06,1.268462000000000000e+07,3.805343542781984834e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.128653038982890044e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.000452212427754881e-04,2.126502611451500935e-01,2.043038486215583045e-03,6.202074280001452425e+05,1.879246476056780693e+03,0.000000000000000000e+00,0.000000000000000000e+00,5.816323171277940811e-04,2.029180733863765462e-01,1.837750846736840610e-04,2.014457350395439494e+00,2.069042384318240946e-01,1.352873346931173773e-03,2.357862041328734615e-01,6.340098209249230567e+05,2.174343959992158570e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.820741511679051496e-04,2.033624486499705786e-01,8.919780679751744567e-05,2.005204586776832443e+00,2.409116612435953375e-01,6.340093438587521669e+05,2.181857327594372453e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+06,9.062526000000000000e+06,3.385295085121039493e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.946465371947295742e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.672452597321779244e-04,1.973272912600280427e-01,1.473903744004433514e-03,4.439135765883419663e+05,7.752998246312587298e+02,0.000000000000000000e+00,0.000000000000000000e+00,6.636578919825712524e-04,1.915150341390753630e-01,1.862164593615834739e-04,1.974451112375938733e+00,1.877596521225781134e-01,1.432365425838860165e-03,2.087328183322789132e-01,4.529292837596050231e+05,2.058903974137035853e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.626580090953694199e-04,1.911458336877881747e-01,9.315262973882356583e-05,1.984042647509620894e+00,2.041969015151398614e-01,4.529283568842662498e+05,2.063793948959327551e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,2.500000000000000139e-02,5.000000000000000000e+00,2.000000000000000000e+06,8.954974000000000000e+06,3.534026014901629487e-01,1.014454070254946078e-01,5.012703702356044455e-02,2.014656177549915828e-01,5.197230700576160878e-02,3.204987937496079492e-02,1.754824763842132004e-03,2.023004748956178933e-01,1.758166830939544845e-03,4.386367788464554469e+05,1.078714626462055094e+03,4.458051443144846887e-02,1.030610308891853275e-02,2.059021736804855264e-03,1.950759599628161534e-01,1.877763331090384397e-04,1.970267243051812001e+00,1.923371069773124609e-01,1.399164107210042326e-03,2.166359106783047606e-01,4.475676603971925215e+05,1.917530585701712420e+00,3.710285506700328889e-02,4.171181793221896000e-02,1.377901604807675248e-03,9.121155119231311170e-03,2.059862194783420274e-03,1.947946261957871628e-01,9.296903680996127190e-05,1.977190828581767645e+00,2.133163268099543819e-01,4.475670972837928566e+05,1.919677317736812494e+00,3.752621295250657685e-02,6.767823598685783091e-04
9.000000000000000000e+00,2.500000000000000139e-02,4.000000000000000000e+00,2.000000000000000000e+06,1.290547800000000000e+07,3.978558863136140156e-01,1.161159398552407684e-01,5.542726687096800192e-02,2.208235653552421962e-01,5.874869711312744741e-02,3.399169909578885623e-02,8.241232987652126127e-04,2.190692992673547168e-01,2.293905536291941140e-03,6.306576270408522105e+05,2.300182018776059522e+03,5.264241936299368652e-02,1.261889041617255888e-02,1.033656623382882625e-03,2.079558690694457979e-01,1.878953553630006794e-04,2.001333425604039817e+00,2.139672494957237381e-01,1.387260423801902178e-03,2.410427296140140729e-01,6.450523943797503598e+05,2.153126764593503939e+00,4.549614240339047017e-02,5.452173856098293386e-02,1.187201342824843091e-03,7.483154176936382754e-03,1.032781462803569316e-03,2.086399650442173070e-01,9.114527065078262421e-05,1.987834368937947183e+00,2.486582013936966262e-01,6.450510434212541441e+05,2.171175718900110407e+00,4.662992057402949586e-02,5.635994947721903632e-04
1.100000000000000000e+01,2.500000000000000139e-02,3.000000000000000000e+00,2.000000000000000000e+06,1.390944200000000000e+07,4.450726245411196769e-01,1.099222021725486526e-01,7.416104609062837416e-02,2.507578154339817345e-01,7.169297150348744041e-02,3.572231847542028937e-02,-1.926571771362729953e-03,2.479744666906816830e-01,2.716993534606265519e-03,6.780385247436946956e+05,2.679898578578632169e+03,6.726430839717152665e-02,1.341252390250648532e-02,-1.749869962784871176e-03,2.343559876590482760e-01,2.559617030840179511e-04,2.047335167650275789e+00,2.361253652007491710e-01,1.401370362078514396e-03,2.807756502122377151e-01,6.951735265745803481e+05,2.858573129296923199e+00,6.101694467615537826e-02,5.990219804048604879e-02,1.347473401942197698e-03,7.812777280988114637e-03,-1.750108331012779255e-03,2.346087647937075693e-01,1.169661554030850583e-04,2.043557211589776212e+00,2.829860800635259355e-01,6.951735076059323037e+05,2.858917012858121165e+00,6.091959744213780448e-02,6.218786306515982970e-04
1.200000000000000000e+01,2.500000000000000139e-02,2.000000000000000000e+00,2.000000000000000000e+06,1.176810600000000000e+07,5.090484386300041519e-01,1.466566774154135777e-01,7.192024018214078496e-02,3.141811647050602452e-01,9.770997409523460298e-02,4.084043110780909147e-02,-4.082249217949509711e-04,3.103057114023693441e-01,3.302137910217446248e-03,5.728271763873711461e+05,2.102879268684540421e+03,9.585578597088910413e-02,1.442672317854043484e-02,-1.914673483944890817e-04,2.947354435819420360e-01,3.627487640041017133e-04,2.143163914971069062e+00,2.801069586265310662e-01,1.244093988822738903e-03,3.357068500847087966e-01,5.881555748418179573e+05,2.492081208693432526e+00,8.766034364052346928e-02,9.106020141505319354e-02,1.687605283651343741e-03,5.367980893529469659e-03,-1.897801535759424522e-04,2.918884444860715965e-01,1.558480119012461995e-04,2.175055321118483320e+00,3.202600956210564509e-01,5.881449271576197352e+05,2.585278200862817677e+00,8.790825192820238276e-02,7.245270956902917199e-04
1.300000000000000000e+01,2.500000000000000139e-02,1.000000000000000000e+00,2.000000000000000000e+06,6.888538000000000000e+06,7.166291968453730732e-01,2.318067092042904731e-01,8.921207111989575000e-02,4.977513865796439063e-01,1.770644476751047636e-01,5.573551842259859973e-02,1.275103830872248694e-04,4.925943480122306761e-01,4.585761542111115377e-03,3.350476527935575577e+05,9.123235141480557786e+02,1.748061646317301265e-01,1.726689538931674636e-02,3.643257562785723520e-04,4.782851360370681815e-01,6.953620305523507301e-04,2.439072468093189894e+00,4.176777737011813652e-01,1.235007028104788017e-03,4.358532365977990652e-01,3.442925204082053388e+05,1.406874763294748920e+00,1.703668824739389409e-01,1.470561616223789447e-01,2.594203103558075096e-03,4.836171876438061235e-03,3.700637299262249966e-04,4.592151673285986835e-01,2.980406852758027501e-04,2.600977767518592554e+00,4.047654768211971232e-01,3.442362271914214361e+05,1.935615605636259673e+00,1.601988836145650796e-01,1.143993155489865608e-03
